Decision,Test_1,Test_2
1,81.0,85.0
0,71.0,85.0
1,80.0,90.0
0,79.0,84.0
0,72.0,94.0
0,74.0,81.0
0,79.0,78.0
1,86.0,86.0
0,82.0,82.0
1,76.0,89.0
1,85.0,97.0
1,86.0,78.0
0,80.0,84.0
0,86.0,85.0
1,83.0,84.0
1,83.0,92.0
0,76.0,78.0
1,73.0,92.0
1,81.0,85.0
1,74.0,90.0
0,81.0,85.0
0,76.0,85.0
1,78.0,88.0
0,87.0,78.0
0,71.0,85.0
0,80.0,80.0
0,76.0,84.0
0,77.0,84.0
1,79.0,89.0
1,84.0,88.0
0,81.0,83.0
1,77.0,89.0
1,80.0,89.0
1,81.0,86.0
0,82.0,80.0
0,79.0,83.0
1,85.0,83.0
0,81.0,84.0
1,83.0,89.0
1,78.0,86.0
